emp_id,emp_name,job_title,company,start_date,quit_date
1,Erhart Scambler,Recruiter,Cogilith,2011-02-12,
2,Jermaine Baggot,Actuary,Roomm,2014-08-24,
3,Tam Innes,Web Developer IV,Skidoo,2015-03-01,
4,Cori Fenimore,Paralegal,Kazio,2017-05-08,
5,Carlita Pymm,Research Assistant I,Kwinu,2014-07-03,
6,Shay Caird,VP Sales,Jaxspan,2017-06-18,2014-01-22
7,Madelaine Hillan,Developer III,Brainsphere,2011-11-29,
8,Alfreda Benterman,Administrative Assistant II,Yodoo,2010-12-23,
9,Magdaia Rippingall,Quality Control Specialist,Skyba,2013-11-18,
10,Janel Bevans,Nurse,Edgeify,2015-03-07,
11,Aldo Gillman,Structural Analysis Engineer,Livepath,2015-10-30,
12,Nickolas Smales,Associate Professor,Thoughtworks,2017-02-22,
13,Marlee Bayne,Database Administrator IV,Ailane,2010-03-22,
14,Phylys Dabbs,Human Resources Assistant I,Quatz,2017-09-06,
15,Alisha Amori,GIS Technical Architect,Avamm,2018-01-11,
16,Winny Easey,Business Systems Development Analyst,Skinte,2014-10-20,
17,Shelli Tamplin,Payment Adjustment Coordinator,Kwilith,2010-08-02,
18,Rhody Ghelardoni,Occupational Therapist,Vipe,2010-08-07,
19,Saunders Meugens,Internal Auditor,Muxo,2011-09-10,
20,Dominga Baudou,Librarian,Realbuzz,2012-12-06,
21,Xavier Lockey,Administrative Assistant I,Oba,2016-07-08,
22,Dacia Dunthorn,Mechanical Systems Engineer,Thoughtblab,2014-07-22,
23,Coleen Safe,Sales Associate,Skippad,2013-04-08,
24,Jackquelin Chellenham,VP Sales,Omba,2017-02-27,
25,Martica Sykes,Associate Professor,Cogilith,2011-08-28,
26,Rabbi Sang,Senior Financial Analyst,Jabbersphere,2010-08-09,
27,Harlie Pembery,Associate Professor,Zoovu,2014-02-16,
28,Bald Hawton,Project Manager,Gevee,2011-03-13,
29,Demeter Johannesson,Junior Executive,Skaboo,2017-03-20,
30,Tyson Jacklings,GIS Technical Architect,Buzzshare,2011-10-22,2015-09-18
31,Abeu Jales,Computer Systems Analyst IV,Kwinu,2013-04-17,
32,Marion Pfeffel,Environmental Specialist,Chatterbridge,2010-06-05,
33,Ransom Regis,Senior Editor,Jaxnation,2017-05-03,
34,Addi Grassin,Account Executive,Zoomcast,2017-02-04,
35,Reina Dougill,Speech Pathologist,Topicblab,2014-04-04,
36,Ulises Mathiasen,Quality Control Specialist,Quatz,2016-10-04,
37,Katrine Nasi,VP Product Management,Avamba,2015-08-11,
38,Hirsch Barlow,Senior Financial Analyst,Dazzlesphere,2012-03-16,
39,Sapphire Eagland,Account Executive,Edgeclub,2011-04-13,
40,Abba Vinall,Senior Cost Accountant,Edgeblab,2010-05-05,
41,Paddy Lesmonde,Desktop Support Technician,Skyble,2014-06-24,
42,Anett Romagosa,Senior Cost Accountant,Topdrive,2011-07-03,
43,Ermengarde McIlwraith,Operator,Trunyx,2017-03-21,
44,Darleen Jann,Nurse Practicioner,Dabshots,2013-07-25,2015-02-05
45,Kendal Trillo,Accounting Assistant III,Voonyx,2015-10-01,
46,Michel Meachen,VP Marketing,Browsetype,2016-04-10,
47,Codie MacAughtrie,Graphic Designer,Bubbletube,2015-10-27,
48,Merell Parrett,Human Resources Manager,Zava,2016-05-22,2016-10-10
49,Zane Brimham,Compensation Analyst,Roombo,2015-12-15,
50,Juliet Shevill,Accounting Assistant IV,Feedmix,2014-11-21,
51,Trish Farreil,Financial Advisor,Kamba,2017-03-23,
52,Terrye Borer,Occupational Therapist,Tagtune,2012-01-15,
53,Raphaela MacDaid,Quality Control Specialist,Avavee,2011-12-05,
54,Iosep Zute,Structural Analysis Engineer,Kamba,2018-03-15,
55,Merci Quigley,Financial Analyst,Jamia,2014-07-21,
56,Emmeline Thatcher,Compensation Analyst,Janyx,2011-11-11,
57,Carlynn Tunno,Web Developer IV,Eimbee,2011-02-20,
58,Munmro Mackie,Physical Therapy Assistant,Thoughtstorm,2012-04-23,
59,Suzanne Coady,GIS Technical Architect,Oyoloo,2014-07-15,
60,Bobbye Tivers,Senior Cost Accountant,Youspan,2012-01-18,
61,Franz Flather,GIS Technical Architect,Mymm,2015-08-31,2012-07-20
62,Terri-jo Smallwood,Sales Associate,Meezzy,2012-02-27,
63,Kimball Churms,Account Representative I,Skyba,2017-04-28,
64,Magdalena Fernan,Nurse Practicioner,Gabvine,2013-05-31,
65,Josias Grivori,Nurse Practicioner,Yombu,2015-05-28,
66,Denni Velti,Human Resources Manager,Demizz,2018-03-06,2015-11-26
67,Lucretia Tooley,Associate Professor,Podcat,2012-09-29,
68,Rickie Wooding,VP Sales,Mymm,2017-01-29,2015-03-21
69,Lesley Daye,Statistician III,Yakitri,2010-11-14,
70,Ring Starten,VP Accounting,Trunyx,2016-01-27,
71,Ezequiel Joslow,Financial Advisor,Fivechat,2017-09-23,
72,Analiese Randal,Assistant Media Planner,Twinder,2013-03-11,
73,Cary Dingley,Automation Specialist II,Viva,2013-10-26,
74,Maryellen Purvis,Programmer I,Eire,2012-04-18,
