emp_id,sin,salary,payroll,level
1,495 194 8196,97361,3540178315626817,L10
2,491 440 3186,118005,5602250330468895400,L4
3,210 415 3047,142348,4508835422732113,L4
4,243 703 7584,99410,201838085740660,L8
5,592 968 2605,164171,3561265664521923,L10
6,238 310 5121,102970,5319277427933519,L8
7,846 208 5448,56513,3588572554508137,L1
8,667 640 0358,111550,3559322453893544,L4
9,602 493 0829,169481,3573232439797093,L9
10,834 164 6408,168390,4181602127275507,L9
11,704 951 5134,121310,5602252134159324,L4
12,702 567 8700,96068,3546307304515269,L4
13,542 464 2543,120325,50205846696557440,L3
14,109 278 3470,123515,5602240847928440,L5
15,815 859 8133,141924,5100171097380262,L8
16,627 164 8419,130077,5590004080959148,L9
17,983 594 6704,164836,4844676171256976,L1
18,367 260 0595,112281,337941996659859,L9
19,921 743 1629,142051,5189400380332225,L3
20,189 515 3713,121635,3566218430292704,L3
21,404 222 6346,61027,3577920203488180,L2
22,748 462 7613,128964,5602239300129900,L2
23,339 298 2178,158142,5038192462642331578,L8
24,687 381 6883,153278,5602220499191745,L7
25,395 688 4066,96158,3557214823270697,L9
26,805 263 0007,153104,30049623125854,L2
27,400 478 7996,96647,56022573529279020,L8
28,957 255 6810,171543,5641821530921891114,L2
29,877 182 0916,159216,501889504107108643,L1
30,920 456 9430,103024,5602222048367198,L9
31,544 145 8648,67832,5100130265777170,L4
32,216 820 2930,66061,3562625235460662,L9
33,636 503 8374,173244,3582109657432026,L2
34,176 549 7148,157734,3560296408204519,L7
35,401 380 6234,124882,4017950969923,L4
36,390 953 0108,73914,3587029287798627,L10
37,253 689 1082,131899,3564795531199864,L3
38,376 669 8020,88804,3538292316569951,L9
39,294 337 1472,76239,3579344366190244,L9
40,615 614 0367,76825,374283224457762,L4
41,403 253 9112,73244,502037847117657169,L3
42,864 882 6674,117618,5359642758765288,L9
43,826 655 8440,152156,3567397102046439,L1
44,894 260 4210,108750,3557496614840826,L9
45,476 293 7205,73630,6395747318340011,L5
46,322 478 2212,110049,6333119455328941,L2
47,373 779 1957,119629,337941947572078,L1
48,442 575 3614,74127,5369552485088326,L3
49,554 778 4245,87756,201449783307370,L7
50,770 223 8575,63217,633402308777986935,L5
51,556 923 1704,156780,5602218673150131,L2
52,419 643 6354,141224,4917163017864547,L8
53,869 113 3508,99877,3588180362277307,L3
54,622 856 1154,171145,3588216049795905,L10
55,785 925 3793,160816,3585011192009607,L5
56,252 295 0081,117835,4844544476458251,L8
57,306 801 9259,54204,30123950594048,L7
58,589 634 5269,82043,3559797154883250,L10
59,914 565 1065,155268,6304532011346882115,L1
60,934 695 3457,147366,3542869235071617,L9
61,168 376 7317,87683,3550073599235871,L3
62,496 356 5097,146258,6709897242607856543,L5
63,747 726 1764,86565,3546656274927577,L4
64,784 248 4845,143342,3545783163962100,L5
65,412 185 9685,166188,6334212806178575,L9
66,782 707 4992,62429,4175003474269508,L8
67,555 459 6000,125525,3580508959547955,L9
68,595 897 5389,157693,0604411829222826,L9
69,230 523 1939,115423,56022591296446119,L10
70,540 212 3690,156326,3549894459457956,L7
71,891 838 0599,96570,3528100697380793,L10
72,241 422 4126,57429,633332912135016783,L4
73,984 926 4428,141798,201865105508470,L5
74,190 400 1655,65552,4041374481588,L4
75,971 337 7791,62791,3574161271945412,L5
76,849 925 7856,153233,3583740067208579,L6
77,824 142 0136,59184,3582968297802488,L10
78,207 434 0692,78600,3580095402269734,L10
79,740 188 0730,150967,3568614985555693,L6
80,345 714 7592,165969,3548634598069093,L8
81,654 935 1070,89464,5108753005381169,L4
82,424 203 7780,75272,3553476770339445,L9
83,824 156 7411,143215,5038094803765406912,L5
84,699 161 6954,140505,3582018680663509,L6
85,909 649 4016,143411,6372196759724811,L8
86,999 574 8954,173533,3555429661819569,L3
87,268 190 1470,83601,5492287964181454,L8
88,684 994 1254,134936,3550451244088079,L6
89,680 390 5848,133334,5602224639609038,L6
90,404 533 0285,121714,3573943780515823,L7
91,930 409 8460,74514,372301783874433,L6
92,153 900 4833,78851,3584226759757155,L10
